year,sightings
1969,63
1970,69
1971,44
1972,60
1973,96
1974,109
1975,129
1976,115
1977,114
1978,133
1979,98
1980,97
1981,81
1982,68
1983,71
1984,58
1985,91
1986,78
1987,93
1988,98
1989,90
1990,92
1991,89
1992,87
1993,101
1994,150
1995,153
1996,136
1997,205
1998,159
1999,147
2000,170
2001,193
2002,155
2003,167
2004,234
2005,391
2006,2672
2007,3624
2008,4132
2009,3730
2010,3723
2011,4493
2012,6552
2013,6368
2014,7022
2015,5619
2016,4628
2017,4125
2018,2448
2019,4153
